date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:26:52	87/87	---MCZ	200	added ('OK')	text/plain	date:Tue,%2004%20Apr%202023%2002:00:46%20GMT	https://bitamlcheck.org/robots.txt		(from )
07:26:52	211941/211941	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Apr%202023%2008:52:00%20GMT	https://bitamlcheck.org/	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitamlcheck.org/index.html	(from )
07:26:53	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2258e0b52-15b64-5ebfabaec441c-gzip%22	https://bitaml.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://bitamlcheck.org/)
07:26:55	19354/19354	---M-Z	200	added ('OK')	text/css	etag:%22592491f-4b9a-5e652f88c86a6-gzip%22	https://bitaml.com/wp-content/plugins/constant-contact-forms/assets/css/style.css?ver=1.13.0	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/plugins/constant-contact-forms/assets/css/style1dd9.css	(from https://bitamlcheck.org/)
07:26:56	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%225883f6a-aab-5d5c1db590371-gzip%22	https://bitaml.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.3	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/plugins/contact-form-7/includes/css/styles5697.css	(from https://bitamlcheck.org/)
07:26:57	357619/357619	---M-Z	200	added ('OK')	text/css	etag:%2258e086a-574f3-5ace02aaa2a00-gzip%22	https://bitaml.com/wp-content/themes/BitAML-Child/css/child-theme.min.css?ver=0.5.5	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/themes/BitAML-Child/css/child-theme.minec63.css	(from https://bitamlcheck.org/)
07:26:57	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%2258e0879-d17-5ac155f236880-gzip%22	https://bitaml.com/wp-content/themes/BitAML-Child/owl/owl.carousel.min.css?ver=6.0.3	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/themes/BitAML-Child/owl/owl.carousel.min1eb7.css	(from https://bitamlcheck.org/)
07:26:57	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%2258e0877-3f5-5ac1560b02300-gzip%22	https://bitaml.com/wp-content/themes/BitAML-Child/owl/owl.theme.default.min.css?ver=6.0.3	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/themes/BitAML-Child/owl/owl.theme.default.min1eb7.css	(from https://bitamlcheck.org/)
07:26:58	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2259650c0-65c5-5ac1596cf1e00-gzip%22	https://bitaml.com/wp-content/themes/BitAML-Child/aos/aos.css?ver=6.0.3	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/themes/BitAML-Child/aos/aos1eb7.css	(from https://bitamlcheck.org/)
07:26:58	9700/9700	---M-Z	200	added ('OK')	text/css	etag:%22588422f-25e4-5e81a73e01d74-gzip%22	https://bitaml.com/wp-content/plugins/sassy-social-share/public/css/sassy-social-share-public.css?ver=3.3.43	C:/Users/AlphaStudio/Desktop/unzipper-master/bit/bitaml.com/wp-content/plugins/sassy-social-share/public/css/sassy-social-share-public0e68.css	(from https://bitamlcheck.org/)
